Day,Week,Hour,Minute,Qurter,Date,timestamp,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24
19,16,12,19,2,19-04-2009,19:06.7,Deccan chargers,Ipl delhi daredevils,Mandira bedi,Dominos india,Kingfisher holidays,,,,,,,,,,,,,,,,,,,,
21,17,12,19,2,21-04-2009,19:04.2,Nita ambani,Mahavat,Mumbai indians vs rajasthan royals,High court of karnataka,Fake ipl player,,,,,,,,,,,,,,,,,,,,
22,17,12,19,2,22-04-2009,19:03.6,Aus vs pak,Ipl cricket score,Australia vs pakistan,Malaimurasu,Bandh,,,,,,,,,,,,,,,,,,,,
23,17,12,19,2,23-04-2009,19:03.6,Csk vs dd,Ipl score,Ipl scorecard,Ipl chennai super kings,Ipl cricket,,,,,,,,,,,,,,,,,,,,
24,17,12,19,2,24-04-2009,19:03.6,India map,Hero honda,Ipl bangalore royal challengers,Dvat,Pnr status,,,,,,,,,,,,,,,,,,,,
25,17,12,19,2,25-04-2009,19:05.4,Dvat,Deccan chargers vs mumbai indians,Delhi map,Musicmazaa,Delhi vat,,,,,,,,,,,,,,,,,,,,
26,17,12,19,2,26-04-2009,19:04.0,Aieee 2009 solutions,Aieee 2009 answer key,Aieee 2009 cut off,Aieee 2009 solved papers,Career point,,,,,,,,,,,,,,,,,,,,
27,18,12,19,2,27-04-2009,19:03.7,Ipl scorecard,Ipl scores,Ipl live cricket score,Csk vs dc,Ntruhs,,,,,,,,,,,,,,,,,,,,
28,18,12,19,2,28-04-2009,19:02.7,Icet 2009,Haj committee,Mpresult,Icet hall ticket,Mpbse,,,,,,,,,,,,,,,,,,,,
29,18,12,19,2,29-04-2009,19:05.7,Dera sacha sauda,Ipl mumbai indians,Haj committee,Cdaopune,Haj house hyderabad,,,,,,,,,,,,,,,,,,,,
